i,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],beta_0,beta_1,n_absent,n_present,n_subj,rho,sigma,tau_0,tau_1
Group x category[T.present] Cov,456.135,6.273,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,324.075,3.418,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,614.152,14.215,43.205,0.0,586.291,642.012,650,30,150,150,4,0.35,175,80,15
category[T.present],46.415,20.83,2.228,0.026,5.59,87.24,650,30,150,150,4,0.35,175,80,15
Group Var,586.086,3.62,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,302.241,3.754,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,1291.205,7.772,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,579.491,33.169,17.471,0.0,514.481,644.5,650,30,150,150,4,0.35,175,80,15
category[T.present],42.217,11.837,3.567,0.0,19.017,65.417,650,30,150,150,4,0.35,175,80,15
Group Var,4198.778,20.677,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-377.026,5.556,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,156.634,2.633,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,637.877,27.97,22.805,0.0,583.056,692.698,650,30,150,150,4,0.35,175,80,15
category[T.present],17.551,11.759,1.493,0.136,-5.496,40.599,650,30,150,150,4,0.35,175,80,15
Group Var,2924.662,10.43,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-564.447,4.687,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,143.661,,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,675.713,56.186,12.026,0.0,565.59,785.836,650,30,150,150,4,0.35,175,80,15
category[T.present],26.655,12.099,2.203,0.028,2.942,50.368,650,30,150,150,4,0.35,175,80,15
Group Var,12417.543,60.044,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,1433.114,15.593,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,165.396,2.362,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,625.244,19.81,31.561,0.0,586.416,664.071,650,30,150,150,4,0.35,175,80,15
category[T.present],49.838,12.025,4.145,0.0,26.27,73.407,650,30,150,150,4,0.35,175,80,15
Group Var,1363.235,13.361,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,474.644,8.303,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,165.26,6.78,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,645.524,36.861,17.512,0.0,573.278,717.77,650,30,150,150,4,0.35,175,80,15
category[T.present],21.094,13.16,1.603,0.109,-4.7,46.888,650,30,150,150,4,0.35,175,80,15
Group Var,5224.396,18.287,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-1031.708,6.241,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,271.842,4.069,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,573.87,37.433,15.33,0.0,500.502,647.238,650,30,150,150,4,0.35,175,80,15
category[T.present],53.648,13.69,3.919,0.0,26.817,80.479,650,30,150,150,4,0.35,175,80,15
Group Var,5410.328,26.832,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-272.036,7.108,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,360.276,3.587,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,630.973,59.463,10.611,0.0,514.428,747.517,650,30,150,150,4,0.35,175,80,15
category[T.present],33.193,15.325,2.166,0.03,3.156,63.231,650,30,150,150,4,0.35,175,80,15
Group Var,13923.339,64.918,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,2637.558,16.507,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,499.644,3.808,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,648.712,31.932,20.316,0.0,586.127,711.297,650,30,150,150,4,0.35,175,80,15
category[T.present],28.603,10.426,2.743,0.006,8.168,49.038,650,30,150,150,4,0.35,175,80,15
Group Var,3871.529,18.908,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-91.367,4.474,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,20.808,2.021,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,608.198,54.066,11.249,0.0,502.231,714.165,650,30,150,150,4,0.35,175,80,15
category[T.present],50.532,10.85,4.657,0.0,29.266,71.797,650,30,150,150,4,0.35,175,80,15
Group Var,11495.683,55.657,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,942.582,8.494,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,77.287,2.385,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,621.119,54.13,11.475,0.0,515.027,727.211,650,30,150,150,4,0.35,175,80,15
category[T.present],1.208,13.112,0.092,0.927,-24.491,26.907,650,30,150,150,4,0.35,175,80,15
Group Var,11517.702,54.957,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,1737.202,10.701,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,282.883,3.229,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,571.019,19.312,29.568,0.0,533.168,608.87,650,30,150,150,4,0.35,175,80,15
category[T.present],36.53,10.448,3.497,0.0,16.053,57.007,650,30,150,150,4,0.35,175,80,15
Group Var,1286.687,5.724,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,43.189,3.85,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,26.278,,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,636.828,28.587,22.277,0.0,580.799,692.857,650,30,150,150,4,0.35,175,80,15
category[T.present],28.373,11.805,2.403,0.016,5.235,51.511,650,30,150,150,4,0.35,175,80,15
Group Var,3066.292,15.417,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,683.771,4.917,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,152.48,2.858,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,644.076,38.583,16.693,0.0,568.455,719.697,650,30,150,150,4,0.35,175,80,15
category[T.present],42.085,11.302,3.724,0.0,19.934,64.237,650,30,150,150,4,0.35,175,80,15
Group Var,5762.889,42.95,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,423.044,18.567,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,127.695,,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,690.506,71.774,9.621,0.0,549.831,831.181,650,30,150,150,4,0.35,175,80,15
category[T.present],41.415,15.946,2.597,0.009,10.161,72.669,650,30,150,150,4,0.35,175,80,15
Group Var,20420.095,85.587,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,689.311,15.46,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,644.946,5.869,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,616.712,41.455,14.877,0.0,535.461,697.963,650,30,150,150,4,0.35,175,80,15
category[T.present],25.406,22.599,1.124,0.261,-18.887,69.699,650,30,150,150,4,0.35,175,80,15
Group Var,6674.942,32.511,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,3026.825,15.689,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,1644.41,9.656,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,711.698,15.328,46.431,0.0,681.655,741.74,650,30,150,150,4,0.35,175,80,15
category[T.present],51.66,13.192,3.916,0.0,25.805,77.516,650,30,150,150,4,0.35,175,80,15
Group Var,723.015,6.485,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,435.687,3.23,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,262.544,5.034,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,670.278,43.412,15.44,0.0,585.193,755.364,650,30,150,150,4,0.35,175,80,15
category[T.present],22.085,11.271,1.96,0.05,-0.005,44.176,650,30,150,150,4,0.35,175,80,15
Group Var,7336.864,38.511,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,877.948,14.843,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,105.057,2.942,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,677.721,64.019,10.586,0.0,552.246,803.197,650,30,150,150,4,0.35,175,80,15
category[T.present],33.086,11.67,2.835,0.005,10.213,55.959,650,30,150,150,4,0.35,175,80,15
Group Var,16192.524,80.79,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-1417.769,12.516,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,141.928,3.271,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,635.322,42.013,15.122,0.0,552.977,717.666,650,30,150,150,4,0.35,175,80,15
category[T.present],35.744,18.271,1.956,0.05,-0.067,71.555,650,30,150,150,4,0.35,175,80,15
Group Var,6855.597,32.94,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-2113.027,12.689,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,925.613,6.231,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,560.15,49.461,11.325,0.0,463.207,657.092,650,30,150,150,4,0.35,175,80,15
category[T.present],25.887,13.983,1.851,0.064,-1.52,53.294,650,30,150,150,4,0.35,175,80,15
Group Var,9581.705,45.741,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,1343.484,9.88,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,374.276,3.656,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,623.778,61.46,10.149,0.0,503.319,744.237,650,30,150,150,4,0.35,175,80,15
category[T.present],8.41,13.951,0.603,0.547,-18.933,35.752,650,30,150,150,4,0.35,175,80,15
Group Var,14910.354,71.706,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,2382.594,14.11,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,380.732,4.173,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,631.819,16.675,37.89,0.0,599.136,664.501,650,30,150,150,4,0.35,175,80,15
category[T.present],25.382,10.278,2.469,0.014,5.237,45.528,650,30,150,150,4,0.35,175,80,15
Group Var,906.107,5.342,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-49.682,4.925,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,10.35,,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,611.373,47.021,13.002,0.0,519.214,703.532,650,30,150,150,4,0.35,175,80,15
category[T.present],44.767,10.62,4.215,0.0,23.952,65.583,650,30,150,150,4,0.35,175,80,15
Group Var,8641.657,43.668,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,-636.386,16.161,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,46.866,,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,597.561,51.945,11.504,0.0,495.751,699.372,650,30,150,150,4,0.35,175,80,15
category[T.present],35.247,12.162,2.898,0.004,11.41,59.084,650,30,150,150,4,0.35,175,80,15
Group Var,10587.069,52.317,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,1377.982,15.783,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,179.354,3.334,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,661.553,25.881,25.561,0.0,610.827,712.279,650,30,150,150,4,0.35,175,80,15
category[T.present],17.918,17.52,1.023,0.306,-16.42,52.256,650,30,150,150,4,0.35,175,80,15
Group Var,2464.07,12.191,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,703.644,6.038,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,797.333,5.588,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,644.07,21.097,30.529,0.0,602.721,685.42,650,30,150,150,4,0.35,175,80,15
category[T.present],36.091,17.345,2.081,0.037,2.094,70.087,650,30,150,150,4,0.35,175,80,15
Group Var,1581.446,8.501,,,,,650,30,150,150,4,0.35,175,80,15
Group x category[T.present] Cov,1128.711,5.842,,,,,650,30,150,150,4,0.35,175,80,15
category[T.present] Var,805.585,5.873,,,,,650,30,150,150,4,0.35,175,80,15
Intercept,604.82,21.566,28.045,0.0,562.551,647.09,650,30,150,150,4,0.35,175,80,15
category[T.present],23.323,16.312,1.43,0.153,-8.647,55.293,650,30,150,150,4,0.35,175,80,15
